# T(K) B(T) E_meV_per_spin M C_kB_per_spin S_abs_kB_per_spin dS_M_relB0_kB_per_spin dT_ad_relB0_K
# dS_M/dT_ad 列 = 相对 B=0 的磁熵变/绝热温变（麦克斯韦关系）
100.0000 0.0000 -2.21796348 0.033095 0.02018052 2.41200269 0.00000000 0.00000000
100.0000 2.0000 -2.20829557 0.033684 0.01882271 2.41256365 -0.00533112 26.87621017
100.0000 4.0000 -2.22659189 0.057627 0.02108200 2.41150205 -0.01315235 65.21932914
100.0000 6.0000 -2.27925766 0.112779 0.02134419 2.40844624 -0.00002701 0.12746046
96.5862 0.0000 -2.28551555 0.023959 0.01911794 2.40402506 0.00000000 0.00000000
96.5862 2.0000 -2.28463742 0.066675 0.02255903 2.40354799 -0.00301221 14.31332638
96.5862 4.0000 -2.30339280 0.060016 0.01905751 2.40243217 -0.00695478 31.68921280
96.5862 6.0000 -2.33040724 0.050131 0.02318534 2.40240569 -0.00084429 3.70442445
93.1724 0.0000 -2.33425483 0.032084 0.01910417 2.39806192 0.00000000 0.00000000
93.1724 2.0000 -2.34975441 0.043306 0.02114977 2.39558106 -0.00005834 0.25547777
93.1724 4.0000 -2.38553742 0.067059 0.02529335 2.39238196 -0.00009273 0.37123553
93.1724 6.0000 -2.42917837 0.068496 0.02390252 2.39032125 -0.00058413 2.27654139
89.7586 0.0000 -2.42810516 0.061406 0.02351745 2.38615069 0.00000000 0.00000000
89.7586 2.0000 -2.43672785 0.052371 0.02452036 2.38454263 0.00167694 -6.34120726
89.7586 4.0000 -2.45886344 0.074135 0.02716773 2.38307561 0.00336103 -11.83976191
89.7586 6.0000 -2.51628060 0.067282 0.02345209 2.37926647 -0.00029965 1.04310918
86.3448 0.0000 -2.50323928 0.011167 0.02589405 2.37624488 0.00000000 0.00000000
86.3448 2.0000 -2.52123760 0.010506 0.02767089 2.37340073 0.00043278 -1.41705138
86.3448 4.0000 -2.54498739 0.063164 0.02635283 2.37172089 0.00162269 -5.17030096
86.3448 6.0000 -2.60957801 0.091489 0.02948597 2.36696599 -0.00178619 5.43103097
82.9310 0.0000 -2.58812147 0.064382 0.02879177 2.36460214 0.00000000 0.00000000
82.9310 2.0000 -2.61439521 0.049631 0.02700495 2.36062290 -0.00148595 4.39302987
82.9310 4.0000 -2.65961578 0.081549 0.03005292 2.35599806 -0.00127092 3.67262428
82.9310 6.0000 -2.69878973 0.109463 0.03483008 2.35472939 -0.00292935 7.80335691
79.5172 0.0000 -2.69430461 0.034249 0.02906872 2.34942502 0.00000000 0.00000000
79.5172 2.0000 -2.70894699 0.024408 0.03018505 2.34710829 -0.00090049 2.36347737
79.5172 4.0000 -2.74805151 0.048454 0.03126324 2.34335763 -0.00169986 4.36083574
79.5172 6.0000 -2.82991262 0.102906 0.03218757 2.33598755 -0.00414927 9.98624812
76.1034 0.0000 -2.80934245 0.063086 0.03390526 2.33226019 0.00000000 0.00000000
76.1034 2.0000 -2.81962266 0.046019 0.03415979 2.33059433 0.00136704 -3.11190764
76.1034 4.0000 -2.86260113 0.077329 0.03385330 2.32626565 -0.00106435 2.36940153
76.1034 6.0000 -2.94324819 0.094017 0.03867611 2.31907671 -0.00769760 16.21723472
72.6897 0.0000 -2.91661917 0.043562 0.03619097 2.31551814 0.00000000 0.00000000
72.6897 2.0000 -2.93352883 0.027918 0.03587821 2.31281767 0.00089166 -1.77939212
72.6897 4.0000 -2.98216911 0.075627 0.04013609 2.30760538 -0.00472194 9.11980561
72.6897 6.0000 -3.08551156 0.137844 0.04033760 2.29687451 -0.01397746 25.15294551
69.2759 0.0000 -3.03956029 0.014419 0.04009632 2.29540766 0.00000000 0.00000000
69.2759 2.0000 -3.06782671 0.023035 0.03910062 2.29084947 -0.00404233 7.15190083
69.2759 4.0000 -3.12711068 0.110450 0.04194828 2.28389610 -0.01503311 25.33061526
69.2759 6.0000 -3.24596349 0.161596 0.04772329 2.27062807 -0.02480401 38.06651038
65.8621 0.0000 -3.20220736 0.033509 0.03898999 2.26745627 0.00000000 0.00000000
65.8621 2.0000 -3.21707769 0.080943 0.04379070 2.26520024 -0.00731285 11.21990844
65.8621 4.0000 -3.29282814 0.095695 0.04700574 2.25541706 -0.02176396 31.22921189
65.8621 6.0000 -3.41492486 0.148889 0.05429678 2.24159156 -0.03503559 45.06426817
62.4483 0.0000 -3.33363246 0.032248 0.04798687 2.24366699 0.00000000 0.00000000
62.4483 2.0000 -3.38568884 0.119430 0.05067239 2.23467991 -0.00512635 6.65665938
62.4483 4.0000 -3.48507643 0.159196 0.05388549 2.22061817 -0.01606527 19.22816718
62.4483 6.0000 -3.61838782 0.166508 0.06347803 2.20476269 -0.03375164 35.14451857
59.0345 0.0000 -3.51850401 0.024643 0.05252974 2.20831974 0.00000000 0.00000000
59.0345 2.0000 -3.55186894 0.090450 0.05210688 2.20290644 -0.00286095 3.14572037
59.0345 4.0000 -3.66381884 0.196483 0.06538878 2.18644280 -0.00898261 8.82006946
59.0345 6.0000 -3.84415041 0.249268 0.07836778 2.16159712 -0.02748734 22.00243005
55.6207 0.0000 -3.71851077 0.071047 0.05796748 2.16779752 0.00000000 0.00000000
55.6207 2.0000 -3.76136572 0.091353 0.06362193 2.16046150 -0.00562906 5.20548853
55.6207 4.0000 -3.91377062 0.151399 0.07780792 2.13580150 -0.01688873 13.08517390
55.6207 6.0000 -4.12894116 0.272345 0.10732328 2.10389729 -0.03846312 24.01141773
52.2069 0.0000 -3.91110447 0.045680 0.05580400 2.12630165 0.00000000 0.00000000
52.2069 2.0000 -3.99873529 0.082827 0.07755338 2.10931831 -0.01322003 9.57482694
52.2069 4.0000 -4.20740902 0.227162 0.09639806 2.07253474 -0.03931351 22.80617671
52.2069 6.0000 -4.45057336 0.305762 0.10235907 2.03459904 -0.07116213 36.62466364
48.7931 0.0000 -4.15171472 0.049991 0.07445059 2.07094800 0.00000000 0.00000000
