B,T,phase,M,Q,n_skyrmion
0.0000,5.0000,multi-q,0.803921,0.000000,0.0000
0.0000,20.0000,FM,0.825740,0.000000,0.0000
0.0000,40.0000,multi-q,0.694509,0.000000,0.0000
0.0000,60.0000,multi-q,0.515675,0.000000,0.0000
0.0000,80.0000,multi-q,0.534228,0.040000,0.0400
0.0000,100.0000,multi-q,0.541373,0.080000,0.2400
0.0000,120.0000,skyrmion_lattice,0.404048,0.520000,3.1200
0.0000,140.0000,helical,0.249943,1.560000,8.8800
0.0000,160.0000,helical,0.124888,1.360000,14.6800
0.0000,180.0000,skyrmion_lattice,0.092713,2.800000,19.8400
0.0000,200.0000,skyrmion_lattice,0.064138,4.120000,21.3200
0.3000,5.0000,FM,0.983917,0.000000,0.0000
0.3000,20.0000,FM,0.945311,0.000000,0.0000
0.3000,40.0000,FM,0.875478,0.000000,0.0000
0.3000,60.0000,multi-q,0.816445,0.000000,0.0000
0.3000,80.0000,multi-q,0.670778,0.080000,0.0800
0.3000,100.0000,multi-q,0.599141,0.040000,0.1600
0.3000,120.0000,skyrmion_lattice,0.478267,0.360000,1.5200
0.3000,140.0000,skyrmion_lattice,0.426428,1.400000,7.5600
0.3000,160.0000,skyrmion_lattice,0.212792,1.560000,14.2800
0.3000,180.0000,skyrmion_lattice,0.094278,2.080000,17.5600
0.3000,200.0000,helical,0.107062,2.120000,19.5600
0.6000,5.0000,multi-q,0.815203,0.000000,0.0000
0.6000,20.0000,multi-q,0.791305,0.000000,0.0000
0.6000,40.0000,multi-q,0.672991,0.000000,0.0000
0.6000,60.0000,multi-q,0.630784,0.000000,0.0000
0.6000,80.0000,multi-q,0.459851,0.000000,0.0400
0.6000,100.0000,multi-q,0.435607,0.160000,0.2800
0.6000,120.0000,skyrmion_lattice,0.229449,0.760000,5.4400
0.6000,140.0000,skyrmion_lattice,0.273149,1.320000,10.6800
0.6000,160.0000,helical,0.172812,2.280000,15.3600
0.6000,180.0000,skyrmion_lattice,0.112231,2.960000,19.4400
0.6000,200.0000,skyrmion_lattice,0.073379,2.120000,19.2800
1.0000,5.0000,FM,0.962019,0.000000,0.0000
1.0000,20.0000,multi-q,0.856599,0.000000,0.0000
1.0000,40.0000,multi-q,0.755445,0.000000,0.0000
1.0000,60.0000,multi-q,0.629715,0.000000,0.0000
1.0000,80.0000,multi-q,0.661176,0.000000,0.0000
1.0000,100.0000,multi-q,0.562768,0.000000,0.2400
1.0000,120.0000,skyrmion_lattice,0.383842,1.160000,3.4800
1.0000,140.0000,skyrmion_lattice,0.268880,1.440000,7.4000
1.0000,160.0000,helical,0.152822,1.640000,15.5200
1.0000,180.0000,skyrmion_lattice,0.130214,2.360000,16.4000
1.0000,200.0000,skyrmion_lattice,0.092320,3.000000,20.5600
1.5000,5.0000,FM,0.984374,0.000000,0.0000
1.5000,20.0000,FM,0.852526,0.000000,0.0000
1.5000,40.0000,multi-q,0.784888,0.000000,0.0000
1.5000,60.0000,multi-q,0.676301,0.000000,0.0000
1.5000,80.0000,multi-q,0.601105,0.000000,0.0400
1.5000,100.0000,helical,0.319480,0.160000,1.4000
1.5000,120.0000,helical,0.173588,0.200000,2.2400
1.5000,140.0000,helical,0.155197,1.480000,8.8800
1.5000,160.0000,helical,0.116857,1.360000,12.5200
1.5000,180.0000,skyrmion_lattice,0.133888,2.720000,19.7200
1.5000,200.0000,skyrmion_lattice,0.073973,3.080000,21.3200
2.0000,5.0000,FM,0.985486,0.000000,0.0000
2.0000,20.0000,FM,0.949292,0.000000,0.0000
2.0000,40.0000,FM,0.886406,0.000000,0.0000
2.0000,60.0000,multi-q,0.792837,0.000000,0.0000
2.0000,80.0000,multi-q,0.705272,0.000000,0.0000
2.0000,100.0000,multi-q,0.627693,0.040000,0.1600
2.0000,120.0000,multi-q,0.526531,0.400000,0.7600
2.0000,140.0000,skyrmion_lattice,0.271077,1.200000,7.7200
2.0000,160.0000,helical,0.211976,2.320000,13.1200
2.0000,180.0000,skyrmion_lattice,0.171597,2.520000,16.1200
2.0000,200.0000,skyrmion_lattice,0.083327,2.600000,20.1200
